Codigo,Descripcion,Marca,Rubro,Subrubro,Categoria,CostoSinIVA,VentaSinIVA,Stock,Unidad
HE0355,DELLAVO-7755 PASADOR C/PORTACANDADO 38X200MM FORJ   (6) NAC.,Ferreteria General,Ferreteria General,Herrajes,Herrajes,7613.43,10278.13,11,Unidad
EL1177,SICA-545269 LLAVE ARMADA 3 INTERRUPTO.  *BCO.LUNA*BAJA*,Sica,Instalaciones Elñctricas,"Llaves  , Enchufes,Y Portalamparas E Iluminacion","Llaves  , Enchufes,Y Portalamparas E Iluminacion",1420.06,1917.07,11,Unidad
FE8700,BIASSONI-2266 PALA ESTAMP.PUNTA CORAZON  C/CORTO,Herramientas Manuales,Herramientas Manuales,Albañileria Y Plomeria,Albañileria Y Plomeria,12666.53,17099.82,11,Unidad
EL2075,SICA - ART. EMPOTRABLE LED 12 W REDONDO LD - 911547,Sica,Instalaciones Elñctricas,"Llaves  , Enchufes,Y Portalamparas E Iluminacion","Llaves  , Enchufes,Y Portalamparas E Iluminacion",10990.25,14836.84,11,Unidad
CO1912,BAJA KLAUKOL PASTINA IMP BOX ANTIHONGO OLIVINA   X 5KG,Klaukol,Pisos Y Revestimientos,Pastinas Pisos Y Revestimientos,Pastinas Pisos Y Revestimientos,7593.01,10250.56,11,Unidad
SA4069,ACQUA SYSTEM TERMOFUSION CODO 90Ñ C/BASE H LARGA 20X1/2   08-096020015,Acqua,Plomeria,Distribucion De Agua,Distribucion De Agua,1866.99,2520.43,11,Unidad
SA1118,TIGRE R1 LIN 3.2 REJILLA 15X15 BLANCA 100002887,Tigre,Plomeria,Desagues Y Accesorios Tuberia,Desagues Y Accesorios Tuberia,600.32,810.43,11,Unidad
HE0190,KUNSTLER SOPORTE TIPO L SL PINTADO DE 6,Kunstler,Ferreteria General,Fijaciones,Fijaciones,3210.09,4333.62,10,Unidad
SA2251,ACCESORIO EPOXI NIPLE 1/2 X 12CM IPAC APROBADO,Accesorio,Plomeria,Distribucion De Agua,Distribucion De Agua,1497.25,2021.29,10,Unidad
EL2074,SUPERFICIAL LED REDONDO 24W LD - 911657,Superficial,Instalaciones Elñctricas,"Llaves  , Enchufes,Y Portalamparas E Iluminacion","Llaves  , Enchufes,Y Portalamparas E Iluminacion",24859.25,33559.99,10,Unidad
HE0648,CARRO 4 RUEDAS ARENA(1646112)59X17.5X25 NYLON,Carro,Ferreteria General,Herrajes,Herrajes,7915.61,10686.08,10,Unidad
